time_tag,sxr_a,sxr_b,source
2022-03-28 10:00:00+00:00,5.717794176267413e-08,7.147242720334266e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:01:00+00:00,5.7511403707907743e-08,7.188925463488468e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:02:00+00:00,5.7848495586677736e-08,7.231061948334717e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:03:00+00:00,5.8189294236386435e-08,7.273661779548304e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:04:00+00:00,5.8533887788000866e-08,7.316735973500108e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:05:00+00:00,5.8882376283661406e-08,7.360297035457676e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:06:00+00:00,5.92348723161995e-08,7.404359039524938e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:07:00+00:00,5.9591501690740544e-08,7.448937711342567e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:08:00+00:00,5.995240410846981e-08,7.494050513558726e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:09:00+00:00,6.031773387252513e-08,7.539716734065641e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:10:00+00:00,6.068766061584707e-08,7.585957576980884e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:11:00+00:00,6.106237005066534e-08,7.632796256333167e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:12:00+00:00,6.144206473912489e-08,7.680258092390611e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:13:00+00:00,6.182696488435657e-08,7.728370610544571e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:14:00+00:00,6.221730914107109e-08,7.777163642633885e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:15:00+00:00,6.261335544449973e-08,7.826669430562466e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:16:00+00:00,6.301538185621836e-08,7.876922732027295e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:17:00+00:00,6.34236874250688e-08,7.927960928133599e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:18:00+00:00,6.383859306103193e-08,7.97982413262899e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:19:00+00:00,6.426044241950643e-08,8.032555302438304e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:20:00+00:00,6.468960279300194e-08,8.086200349125242e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:21:00+00:00,6.512646600676391e-08,8.140808250845488e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:22:00+00:00,6.557144931430621e-08,8.196431164288276e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:23:00+00:00,6.602499628823128e-08,8.25312453602891e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:24:00+00:00,6.648757770106768e-08,8.31094721263346e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:25:00+00:00,6.695969239014388e-08,8.369961548767985e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:26:00+00:00,6.744186809974684e-08,8.430233512468355e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:27:00+00:00,6.793466229297912e-08,8.491832786622391e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:28:00+00:00,6.843866292483006e-08,8.554832865603758e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:29:00+00:00,6.895448916701265e-08,8.619311145876581e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:30:00+00:00,6.948279207409001e-08,8.685349009261251e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:31:00+00:00,7.002425517932351e-08,8.753031897415439e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:32:00+00:00,7.057959500752325e-08,8.822449375940407e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:33:00+00:00,7.114956149097419e-08,8.893695186371772e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:34:00+00:00,7.173493827325383e-08,8.966867284156729e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:35:00+00:00,7.233654288446094e-08,9.042067860557617e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:36:00+00:00,7.29552267700461e-08,9.119403346255763e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:37:00+00:00,7.359187515409428e-08,9.198984394261785e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:38:00+00:00,7.424740671656831e-08,9.280925839571038e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:39:00+00:00,7.492277306270615e-08,9.365346632838269e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:40:00+00:00,7.561895796149738e-08,9.452369745187172e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:41:00+00:00,7.633697632897446e-08,9.542122041121807e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:42:00+00:00,7.707787293097986e-08,9.634734116372483e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:43:00+00:00,7.784272077914615e-08,9.730340097393268e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:44:00+00:00,7.863261919310245e-08,9.829077399137806e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:45:00+00:00,7.944869150144352e-08,9.93108643768044e-07,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:46:00+00:00,8.02920823538263e-08,1.0036510294228288e-06,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:47:00+00:00,8.116395461675112e-08,1.014549432709389e-06,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:48:00+00:00,8.206548582620881e-08,1.02581857282761e-06,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:49:00+00:00,8.299786417149966e-08,1.0374733021437457e-06,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:50:00+00:00,8.39622839862268e-08,1.049528549827835e-06,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:51:00+00:00,8.495994072481327e-08,1.061999259060166e-06,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:52:00+00:00,8.599202540595935e-08,1.074900317574492e-06,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:53:00+00:00,8.70597185083198e-08,1.0882464813539975e-06,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:54:00+00:00,8.816418330840637e-08,1.1020522913550796e-06,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:55:00+00:00,8.930655865636905e-08,1.1163319832046132e-06,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:56:00+00:00,9.048795119192825e-08,1.131099389899103e-06,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:57:00+00:00,9.170942701035432e-08,1.146367837629429e-06,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:58:00+00:00,9.297200279703269e-08,1.1621500349629086e-06,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 10:59:00+00:00,9.427663645880066e-08,1.1784579557350083e-06,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 11:00:00+00:00,9.56242172908614e-08,1.1953027161357674e-06,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 11:01:00+00:00,9.701555572959047e-08,1.2126944466198808e-06,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 11:02:00+00:00,9.845137275384791e-08,1.230642159423099e-06,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 11:03:00+00:00,9.993228901033379e-08,1.2491536126291724e-06,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 11:04:00+00:00,1.0145881375188484e-07,1.2682351718985605e-06,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 11:05:00+00:00,1.0303133369115647e-07,1.2878916711394559e-06,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 11:06:00+00:00,1.0465010188557808e-07,1.308126273569726e-06,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 11:07:00+00:00,1.0631522678247498e-07,1.3289403347809371e-06,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 11:08:00+00:00,1.0802666156543884e-07,1.3503332695679855e-06,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 11:09:00+00:00,1.0978419395399439e-07,1.3723024244249298e-06,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 11:10:00+00:00,1.1158743661791739e-07,1.3948429577239674e-06,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 11:11:00+00:00,1.1343581837476843e-07,1.4179477296846053e-06,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 11:12:00+00:00,1.1532857634388268e-07,1.4416072042985336e-06,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 11:13:00+00:00,1.1726474923179036e-07,1.4658093653973794e-06,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 11:14:00+00:00,1.1924317192247948e-07,1.4905396490309937e-06,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
2022-03-28 11:15:00+00:00,1.212624715407695e-07,1.5157808942596187e-06,offline replay calibrated to GOES class/timing for 2022-03-28 X1.5
